,N,ME,MPE,RMSE,$R^2$,$p_c$,$r$
Honey Locust,180.0,-1.3331588310029778,-5.504021958528081,2.181256476558439,0.8413210979763669,0.8735246022541252,0.8704646497753161
Black Walnut,207.0,-2.4507043109365285,-9.619316393888449,3.1897503537685594,0.9493373185338015,0.935226457576409,0.9339639998219338
Black Locust,14.0,-1.293292646448514,-15.42037494493922,1.5376073634281786,0.9506944745824281,0.8910274785930821,0.8866585129804169
Loblolly Pine,13.0,-1.5775687524746873,-17.48794769465974,1.654860975158781,0.9917727402364861,0.9433509143233588,0.941854214481604
